PM2.5(微克每立方米), PM10(微克每立方米), SO2(微克每立方米), NO2(微克每立方米), CO(毫克每立方米), O3(微克每立方米)
11.7,17.87,2.63,3,0.46,25.99
9.9,16.28,2.7,2.95,0.48,23.51
8.9,15.55,2.8,3.12,0.49,21.81
8.88,16.34,3.08,3.56,0.51,21.96
8.75,17.25,3.18,3.76,0.53,21.48
8.56,17.26,3.13,3.31,0.52,21.53
8.78,17.16,3.03,2.95,0.49,22.52
9.04,16.54,2.89,2.43,0.45,24
9.58,16.09,2.85,2.18,0.41,26.83
10.95,16.48,3.12,2.18,0.35,31.39
12.41,16.86,3.27,2.01,0.27,37.05
14.23,17.93,3.35,1.8,0.2,41.91
15,18.41,3.16,1.58,0.19,43.95
14.85,17.85,3.05,1.43,0.18,46.25
15.98,18.24,3.15,1.43,0.19,48.71
19.5,22.31,4.86,2.61,0.23,54.1
32.19,43.26,9.41,5.9,0.48,69.47
24.87,38.08,8.95,6.51,0.54,62.62
22.55,34.86,8.27,6.66,0.56,60.58
22.16,33.71,7.77,6.66,0.56,59.64
22.45,34.04,7.46,7.1,0.57,58.05
22.56,34.49,7.11,7.53,0.6,56.63
21.78,34.23,6.88,8.26,0.64,55.41
21.1,33.98,6.98,8.86,0.67,54.45
21.16,34.44,7.23,9.08,0.69,53.68
21.81,35.55,7.52,9.26,0.72,52.77
22.09,36.36,8,9.71,0.75,51.55
